track_name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
Song 0,Artist 39,0.6873302619820725,0.5130900892153117,-11.681852677061183,0.09856822470334471,0.6748656879928197,0.35549227939321154,0.1881070309375565,0.31230633807954183,83.9293917310242,55
Song 1,Artist 29,0.2360441931477753,0.6015748320010431,-3.075094159619014,0.1514198276067711,0.371407793475057,0.22043835137558673,0.2367370469300352,0.6560361311431836,91.73661800006289,74
Song 2,Artist 15,0.9118592986935394,0.8745688161016606,-7.424703635881098,0.4655924157673169,0.5814865575045567,0.49763164989679504,0.37074995429757396,0.6263531772455444,120.42563778142633,83
Song 3,Artist 43,0.8650102904735357,0.5815627470402928,-5.292994026684948,0.3444714922814506,0.5818050811121462,0.7939538314998232,0.2237953967676638,0.3822933158119059,68.1730829668227,76
Song 4,Artist 8,0.3956702175062855,0.2660165842769705,-4.645522238664395,0.2581029625663455,0.799235157924106,0.30905853846117276,0.31482722082154496,0.8888865601833186,86.18091955119279,88
Song 5,Artist 21,0.21147840521778857,0.36963632058982937,-9.903102362139645,0.02610314719370889,0.5388231620871876,0.4590730032836107,0.13341775058713018,0.8181329783661878,172.24537935685407,80
Song 6,Artist 39,0.9000772310596122,0.3789432336417498,-9.133989532734233,0.4963593922349457,0.4519382489657882,0.3324831167258684,0.3198970917367241,0.290385163985319,115.93395511901868,21
Song 7,Artist 19,0.5757799129364445,0.4575863039118381,-9.720082643825501,0.34229836874942876,0.1249841937568653,0.6778173341774876,0.4376811682521021,0.3032711636193447,113.44638311734467,74
Song 8,Artist 23,0.6045330863000469,0.4841100148030745,-8.238832438198415,0.17212278912557358,0.10416384601083482,0.7217891227697906,0.44088783792054154,0.5354552948540185,61.74805857015347,99
Song 9,Artist 11,0.7129728270486058,0.8198038198668425,-19.412111084869853,0.44204895679896233,0.13888940875477146,0.701884489764208,0.3759549828482929,0.7575362864711123,89.6879696470015,57
Song 10,Artist 11,0.6618883732924354,0.41444829914439973,-12.089696603019695,0.1440471777400727,0.15466363319438506,0.7794977909434061,0.3855890205842567,0.13743432248019474,163.95509231786176,99
Song 11,Artist 24,0.9079187034205679,0.5214086455972414,-7.87622572877657,0.2811279580077208,0.5740893833972706,0.022015348112332234,0.30106735031781534,0.6893348806745007,79.75541139104025,97
Song 12,Artist 36,0.9081886978438756,0.6624783883459471,-8.045528694882712,0.32531396659031603,0.6668831252471207,0.6718529297164249,0.31310064057462117,0.6510005127747824,109.81499274416653,48
Song 13,Artist 40,0.8503992001662528,0.4399533526961524,-4.140878107887369,0.12611041829778966,0.47699237063377686,0.6014177384312747,0.1101427616347331,0.29675808152604,61.71970870404015,45
Song 14,Artist 24,0.6773026980845085,0.8529083319630997,-6.899813223357829,0.48963069382428603,0.746115959290942,0.18295552752029184,0.24973663478958552,0.6791500612551464,117.4002578004667,54
